StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,ID,IRI_4,IRI_5,IRI_6,IRI_7,IRI_8,IRI_9,IRI_32,IRI_10,IRI_11,IRI_3,IRI_12,IRI_13,IRI_14,IRI_15,IRI_16,IRI_18,IRI_19,IRI_20,IRI_21,IRI_22,IRI_23,IRI_24,IRI_25,IRI_27,IRI_28,IRI_29,IRI_30,IRI_31,BES_21,BES_20,BES_22,BES_23,BES_24,BES_25,BES_26,BES_27,BES_28,BES_29,BES_30,BES_31,BES_32,BES_33,BES_34,BES_35,BES_36,BES_37,BES_38,BES_39,ASRM_1,ASRM_2,ASRM_3,ASRM_4,ASRM_5,BDISF_1,BDISF_21,BDISF_3,BDISF_4,BDISF_5,BDISF_6,BDISF_7,BDISF_8,BDISF_9,BDISF_10,BDISF_11,BDISF_12,BDISF_13,STAI_1,STAI_2,STAI_3,STAI_4,STAI_5,STAI_6,Q83_1,Q83_2,Q83_3,Q83_4,Q83_5,Q83_6,Q83_7,Q83_8,Q83_9,Q83_10,Q83_11,Q83_12,Q84,Q85,Q86,SAS_intro1,SAS_intro2,SAS_intro3,SAS1,SAS2,SAS3,SAS4,SAS5,SAS6,SAS7,SAS8,SAS9,SAS10,SAS11,SAS12,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Where_Live,Age,Ethnicity,Ethnicity_6_TEXT,Gender,Education,Income,Employment,Living_Arr,Living_Arr_6_TEXT,Marital_St,Children,SES
5/10/17 13:11,5/10/17 13:33,0,71.169.25.179,100,1357,1,5/10/17 13:33,R_XOiSzcv8ixEh3ot,,,,,41.65679932,-73.98840332,anonymous,2_Y,1,1,1,1,1,3,3,3,3,2,3,2,3,3,3,1,3,3,3,2,3,3,2,1,3,1,1,3,1,2,2,2,4,4,4,3,3,3,2,3,3,2,3,2,3,4,3,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,1,4,2,2,5,2,2,1,2,1,5,1,1,1,1,1,30,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,3,1,4,1,1,1,1,1,1,1,5,5,1,1,1,1,2,1,1,1,1,2,,,,,,,,,,2,,,,,2,,,,1,Venus,62,1,,2,16,3,2,1,,1,0,6
5/10/17 15:08,5/10/17 15:28,0,24.218.139.207,100,1229,1,5/10/17 15:28,R_31Wyj71qZGehIJU,,,,,41.30940247,-72.9240036,anonymous,333_Y,4,5,2,3,5,2,1,5,5,5,5,2,2,2,3,4,3,2,4,5,5,5,5,1,4,5,1,5,4,1,1,1,1,5,5,2,1,2,2,1,2,1,2,2,1,4,4,4,2,3,2,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,4,2,1,1,3,1,1,3,2,1,1,1,1,4,3,30,12,12,5,1,1,3,2,2,3,2,3,,,,,,,,,,,,,,3,1,1,3,2,2,1,2,2,1,1,2,1,1,3,2,3,1,1,2,1,2,,,,,,,,,,2,,,,,2,2,3,2,4,Venus,25,6,mixed race,1,16,1,3,4,,2,0,6
5/10/17 15:32,5/10/17 15:46,0,76.119.200.136,100,877,1,5/10/17 15:47,R_SDHVyFtPjC0Bt29,,,,,41.76829529,-70.60070038,anonymous,128_Y,4,5,1,1,3,2,2,5,5,3,5,2,4,1,2,2,3,1,4,5,5,4,1,1,4,1,1,4,5,2,1,2,2,4,5,4,2,2,1,1,3,1,4,2,1,5,4,5,1,0,1,0,2,1,1,2,1,0,1,0,0,1,0,0,1,0,2,3,1,2,2,1,1,1,1,1,4,2,1,1,1,3,1,3,5,3,20,1,1,1,1,1,2,1,2,4,,,,,,,,,,,,,,4,4,1,2,1,1,2,4,4,1,5,2,1,2,5,1,1,2,1,2,1,2,,,,,,,,,,2,,,,,2,,,,1,Venus,27,1,,1,12,3,1,5,,1,0,4
5/10/17 16:14,5/10/17 16:27,0,201.206.39.98,100,793,1,5/10/17 16:27,R_2V1Nt5PlzKsInii,,,,,9.853302002,-83.90229797,anonymous,151_Y,3,2,2,4,4,2,3,4,4,3,3,1,4,2,4,2,2,2,4,4,4,3,3,1,2,3,2,2,1,4,1,3,4,4,3,3,2,4,3,2,4,1,4,2,4,3,4,5,2,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,5,,,,,,2,2,1,1,2,5,,,,,,,,3,2,1,3,1,1,1,2,2,2,,,1,1,1,1,4,1,1,1,1,1,1,3,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,Venus,36,1,,2,16,6,3,3,,4,2,2
5/10/17 18:13,5/10/17 18:34,0,73.81.104.105,100,1229,1,5/10/17 18:34,R_2frJwL6zyVzVv1Q,,,,,40.13250732,-75.33239746,anonymous,165_Y,5,5,4,1,4,3,2,2,5,3,4,1,3,1,3,4,1,1,4,4,2,3,4,1,3,5,1,2,3,2,1,2,3,3,4,4,4,3,3,2,3,2,3,2,4,3,4,5,2,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,2,1,2,3,1,2,2,4,4,4,3,3,2,1,3,1,1,1,2,2,4,3,4,5,1,2,5,,,,,,3,2,2,2,1,5,,,,,,,,2,2,3,1,3,3,4,5,3,1,5,3,1,2,4,4,2,4,3,4,5,2,,,,,,,,,,2,,,,,1,1,1,5,5,Venus,36,1,,2,18,3,3,1,,5,0,8
5/11/17 22:08,5/11/17 22:36,0,107.2.138.147,100,1625,1,5/11/17 22:36,R_d3WpyvStZqIUoPn,,,,,40.04960632,-105.2769012,anonymous,171_B,5,4,2,3,2,5,2,4,4,4,4,1,2,2,2,2,5,1,2,3,5,5,4,3,3,4,2,4,4,2,1,2,3,3,3,4,1,2,2,3,4,1,2,2,3,5,3,5,1,1,1,1,1,0,1,0,1,3,1,1,1,0,1,0,1,0,3,2,1,3,3,2,2,2,2,2,3,1,1,2,1,3,1,2,30,2,8,3,2,2,5,,,,,,,,,,,,1,1,1,1,1,1,1,3,3,1,4,1,1,2,2,2,1,5,4,1,1,4,2,2,2,1,3,2,2,,,,,,,,,,2,,,,,2,,,,3,Venus,31,1,,1,20,2,4,4,,1,0,4
5/12/17 11:04,5/12/17 11:15,0,67.249.120.142,100,687,1,5/12/17 11:15,R_1l03TMGdaE9mDhV,,,,,43.02999878,-76.12419891,anonymous,175_Y,4,4,4,2,4,5,1,4,4,5,2,2,1,1,2,4,5,2,1,3,4,5,4,4,2,4,4,2,4,2,2,1,3,2,2,4,2,1,2,4,4,1,4,2,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,2,2,1,2,1,2,1,2,2,1,1,2,1,1,4,0,0,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,3,2,3,1,1,1,4,2,2,1,5,1,1,2,2,1,3,1,1,1,1,2,,,,,,,,,,2,,,,,2,,,,1,Venus,28,1,,1,18,2,2,4,,1,0,9
5/12/17 12:41,5/12/17 12:59,0,173.162.202.125,100,1032,1,5/12/17 12:59,R_3lKYFY43plUhDnb,,,,,42.10639954,-72.59069824,anonymous,130_Y,3,4,1,2,3,3,2,5,4,2,5,2,4,3,3,1,2,2,4,4,5,3,2,1,3,4,2,4,4,2,2,4,3,5,4,5,3,1,3,2,3,2,4,1,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,5,,,,,,,,,,,,,,3,2,1,2,1,1,2,1,2,1,5,4,2,,,,,,,1,2,2,1,,,,,,,,,2,,,,,1,6,1,1,1,Venus,52,1,,2,15,3,1,1,,5,0,7
5/12/17 17:01,5/12/17 17:30,0,73.38.79.38,100,1730,1,5/12/17 17:30,R_ONeFjGcYxEq50DD,,,,,41.69030762,-72.79070282,anonymous,135_Y,2,4,1,4,3,3,4,5,5,5,4,2,2,3,5,3,3,1,1,4,4,3,3,3,2,2,3,2,2,4,1,2,3,3,2,5,1,3,3,1,4,1,4,1,4,4,4,5,0,0,0,0,0,3,3,3,2,3,3,1,2,3,1,2,3,2,2,3,3,1,1,4,3,3,3,3,3,2,2,1,1,3,2,4,20,8,30,3,2,1,2,3,5,1,3,3,5,4,4,1,3,4,3,5,5,5,3,4,4,5,1,3,4,3,3,4,3,3,2,,,1,1,4,4,2,1,1,2,1,2,,,,,,,,,,2,,,,,2,,,,1,Venus,26,1,,2,17,1,2,4,,2,0,4
5/14/17 10:15,5/14/17 10:29,0,65.128.112.214,100,851,1,5/14/17 10:29,R_p0LSoLusD1THXMd,,,,,39.3276062,-104.8162994,anonymous,88_B,5,5,1,1,5,1,1,5,5,5,5,4,5,4,1,1,1,1,5,5,5,5,5,1,5,5,1,5,1,5,1,5,2,5,3,1,1,1,1,1,1,1,5,1,5,3,5,5,2,2,0,3,2,0,0,1,1,0,1,0,0,0,1,2,1,0,4,1,1,4,4,1,1,2,2,1,2,4,1,2,1,1,1,3,15,7,8,5,2,2,5,,,,,,1,2,2,1,2,5,,,,,,,,1,1,5,1,1,2,1,3,5,2,,,1,1,2,1,5,1,1,5,1,2,,,,,,,,,,2,,,,,2,,,,5,Venus,24,1,,2,16,1,3,4,,2,0,10
