ID,Qdon1,Qdon2,Q23,Q25,Q27,Q29,Q42,Q44,Q46,Q48,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76
1_B,11,7,11,11,9,1,4,6,11,11,4,5,11,6,11,11,11,6,3,6,3,11,6,6
107_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115_Y,6,2,4,2,2,4,2,4,2,4,2,4,2,6,4,4,2,3,5,2,3,3,4,3
116_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119_Y,2,3,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2
124_Y,4,4,4,4,4,4,3,3,4,3,3,3,4,4,3,4,3,3,3,4,3,,,
128_Y,3,11,11,11,11,11,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,6,6
129_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130_Y,9,8,6,8,10,8,7,7,9,10,7,7,8,7,7,9,9,8,9,9,8,9,9,9
133_Y,1,,,,,,,,,,,,,,,,,,,,,,,
135_Y,2,2,1,1,1,1,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136_Y,,,,,,,,,,,,,,,,,,,,,,,,
140_Y,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151_Y,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
154_Y,11,4,5,5,5,5,6,6,7,5,5,5,6,5,5,5,5,7,4,5,6,7,5,5
163_Y,,,,,,,,,,,,,,,,,,,,,,,,
165_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171_B,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1
175_Y,6,11,7,3,3,11,5,4,3,2,2,2,2,2,1,2,1,2,1,1,11,1,2,1
178_Y,1,11,11,7,1,1,1,1,6,11,1,11,6,8,2,11,5,7,2,3,1,1,5,4
183_Y,9,6,7,10,11,11,11,11,7,9,11,9,11,6,11,11,11,11,11,11,11,11,11,8
190_Y,1,,,,,,,,,,,,,,,,,,,,,,,
191_B,9,11,6,11,11,9,11,9,11,11,9,6,9,11,11,11,9,8,9,10,8,11,5,6
196_Y,3,3,3,4,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,1,5,1,1,1
2_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21_B,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
214_Y,3,3,4,3,4,3,4,4,4,2,4,3,3,4,2,3,2,3,2,3,3,2,2,2
22_Y,3,4,3,3,2,1,1,1,,,,,,,,,,,,,,,,
222_Y,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223_Y,4,4,4,2,4,2,3,3,4,3,2,3,1,3,3,3,1,3,3,3,3,3,3,3
225_Y,,,,,,,,,,,,,,,,,,,,,,,,
23_Y,,,,,,,,,,,,,,,,,,,,,,,,
245_Y,4,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
247_Y,6,11,6,1,6,1,6,6,6,1,1,2,1,2,3,1,1,1,1,5,1,1,1,1
248_Y,6,1,2,1,1,6,6,1,1,1,1,1,1,1,6,1,1,6,6,6,1,1,1,1
249_Y,1,2,2,2,1,2,2,2,3,1,3,2,2,2,3,3,2,1,3,1,2,2,2,2
263_Y,1,3,1,1,1,1,1,1,2,2,1,1,4,1,1,2,2,1,1,1,4,1,1,1
269_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
295_Y,,,,,,,,,,,,,,,,,,,,,,,,
297_Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3_B,,,,,,,,,,,,,,,,,,,,,,,,
302_Y,7,9,8,9,11,9,10,8,8,9,7,8,7,,,,,,,,,,,
315_Y,,,,,,,,,,,,,,,,,,,,,,,,
